1986/09/24,BP,0.0625
1986/09/25,BP,-0.3125
1986/09/26,BP,0.3125
1986/09/29,BP,0.3125
1986/09/30,BP,0.3125
1986/10/01,BP,0.03125
1986/10/02,BP,-0.15625
1986/10/03,BP,-0.09375
1986/10/06,BP,0.09375
1986/10/07,BP,0.15625
1986/10/08,BP,0.4375
1986/10/09,BP,-0.0625
1986/10/10,BP,0.0625
1986/10/13,BP,0
1986/10/14,BP,-0.3125
1986/10/15,BP,-0.0625
1986/10/16,BP,-0.0625
1986/10/17,BP,0
1986/10/20,BP,-0.1875
1986/10/21,BP,0
1986/10/22,BP,-0.15625
1986/10/23,BP,0.03125
1986/10/24,BP,-0.0625
1986/10/27,BP,-0.25
1986/10/28,BP,0.09375
1986/10/29,BP,-0.125
1986/10/30,BP,0.625
1986/10/31,BP,0.3125
1986/11/03,BP,-0.0625
1986/11/04,BP,0.03125
1986/11/05,BP,0.125
1986/11/06,BP,-0.0625
1986/11/07,BP,0.125
1986/11/10,BP,0
1986/11/11,BP,0.34375
1986/11/12,BP,-0.40625
1986/11/13,BP,-0.1875
1986/11/14,BP,0.3125
1986/11/17,BP,-0.125
1986/11/18,BP,-0.59375
1986/11/19,BP,0.21875
1986/11/20,BP,-0.03125
1986/11/21,BP,0.40625
1986/11/24,BP,0.03125
1986/11/25,BP,-0.0625
1986/11/26,BP,-0.125
1986/11/28,BP,0.21875
1986/12/01,BP,-0.09375
1986/12/02,BP,0.28125
1986/12/03,BP,-0.0625
1986/12/04,BP,-0.3125
1986/12/05,BP,-0.15625
1986/12/08,BP,-0.09375
1986/12/09,BP,-0.09375
1986/12/10,BP,0.375
1986/12/11,BP,-0.21875
1986/12/12,BP,0.40625
1986/12/15,BP,-0.09375
1986/12/16,BP,-0.15625
1986/12/17,BP,-0.21875
1986/12/18,BP,0.125
1986/12/19,BP,0.25
1986/12/22,BP,0.21875
1986/12/23,BP,-0.09375
1986/12/24,BP,-0.0625
1986/12/26,BP,0
1986/12/29,BP,-0.0625
1986/12/30,BP,0
1986/12/31,BP,-0.03125
1987/01/02,BP,0.21875
1987/01/05,BP,0.40625
1987/01/06,BP,0.03125
1987/01/07,BP,0.125
1987/01/08,BP,0.1875
1987/01/09,BP,0.5
1987/01/12,BP,0.5
1987/01/13,BP,-0.0625
1987/01/14,BP,0.03125
1987/01/15,BP,-0.21875
1987/01/16,BP,0.03125
1987/01/19,BP,0.03125
1987/01/20,BP,0.1875
1987/01/21,BP,-0.125
1987/01/22,BP,0.0625
1987/01/23,BP,0
1987/01/26,BP,-0.03125
1987/01/27,BP,-0.03125
1987/01/28,BP,-0.3125
1987/01/29,BP,0.125
1987/01/30,BP,-0.0625
1987/02/02,BP,0.21875
1987/02/03,BP,-0.03125
1987/02/04,BP,1
1987/02/05,BP,0.1875
1987/02/06,BP,-0.1875
1987/02/09,BP,0.0625
1987/02/10,BP,-0.1875
1987/02/11,BP,-0.25
1987/02/12,BP,-0.34375
1987/02/13,BP,0.3125
1987/02/17,BP,0
1987/02/18,BP,-0.0625
1987/02/19,BP,-0.40625
1987/02/20,BP,-0.25
1987/02/23,BP,-0.125
1987/02/24,BP,-0.25
1987/02/25,BP,-0.125
1987/02/26,BP,0.28125
1987/02/27,BP,0.0625
1987/03/02,BP,-0.1875
1987/03/03,BP,0.40625
1987/03/04,BP,0.125
1987/03/05,BP,0.28125
1987/03/06,BP,0.40625
1987/03/09,BP,-0.125
1987/03/10,BP,0.0625
1987/03/11,BP,-0.03125
1987/03/12,BP,0.25
1987/03/13,BP,0.125
1987/03/16,BP,0.3125
1987/03/17,BP,0.625
1987/03/18,BP,-0.15625
1987/03/19,BP,0.125
1987/03/20,BP,0
1987/03/23,BP,0.5625
1987/03/24,BP,0.03125
1987/03/25,BP,-0.4375
1987/03/26,BP,1.625
1987/03/27,BP,-0.21875
1987/03/30,BP,-0.0625
1987/03/31,BP,0
1987/04/01,BP,0.15625
1987/04/02,BP,-0.03125
1987/04/03,BP,-0.03125
1987/04/06,BP,0.15625
1987/04/07,BP,0.0625
1987/04/08,BP,-0.125
1987/04/09,BP,0
1987/04/10,BP,0
1987/04/13,BP,-0.0625
1987/04/14,BP,-0.0625
1987/04/15,BP,-0.03125
1987/04/16,BP,0.0625
1987/04/20,BP,-0.03125
1987/04/21,BP,0.03125
1987/04/22,BP,-0.03125
1987/04/23,BP,0.125
1987/04/24,BP,0.1875
1987/04/27,BP,0.09375
1987/04/28,BP,0.3125
1987/04/29,BP,0.03125
1987/04/30,BP,0.09375
1987/05/01,BP,0.03125
1987/05/04,BP,-0.21875
1987/05/05,BP,0.0625
1987/05/06,BP,0.0625
1987/05/07,BP,0.03125
1987/05/08,BP,0.03125
1987/05/11,BP,0
1987/05/12,BP,0.15625
1987/05/13,BP,-0.125
1987/05/14,BP,0.0625
1987/05/15,BP,0
1987/05/18,BP,0.09375
1987/05/19,BP,-0.0625
1987/05/20,BP,-0.09375
1987/05/21,BP,0.1875
1987/05/22,BP,-0.21875
1987/05/26,BP,0.03125
1987/05/27,BP,-0.09375
1987/05/28,BP,0.0625
1987/05/29,BP,0
1987/06/01,BP,0
1987/06/02,BP,0
1987/06/03,BP,0.125
1987/06/04,BP,0
1987/06/05,BP,-0.0625
1987/06/08,BP,0.09375
1987/06/09,BP,0
1987/06/10,BP,0.03125
1987/06/11,BP,0
1987/06/12,BP,0.03125
1987/06/15,BP,-0.03125
1987/06/16,BP,-0.03125
1987/06/17,BP,0.0625
1987/06/18,BP,0
1987/06/19,BP,0
1987/06/22,BP,0.0625
1987/06/23,BP,-0.03125
